product_id,store_id,stock_on_hand,reorder_level,last_updated
1000,2,42,20,2026-03-29 07:03:39.795824
1000,61,0,38,2026-03-29 07:03:39.795832
1000,11,324,96,2026-03-29 07:03:39.795836
1000,48,497,26,2026-03-29 07:03:39.795839
1000,69,263,63,2026-03-29 07:03:39.795842
1001,4,500,12,2026-03-29 07:03:39.795869
1001,51,155,37,2026-03-29 07:03:39.795873
1001,91,350,79,2026-03-29 07:03:39.795877
1001,32,331,50,2026-03-29 07:03:39.795880
1001,45,320,78,2026-03-29 07:03:39.795883
1002,56,306,34,2026-03-29 07:03:39.795903
1002,75,64,67,2026-03-29 07:03:39.795906
1002,50,203,88,2026-03-29 07:03:39.795909
1002,65,133,99,2026-03-29 07:03:39.795912
1002,51,353,15,2026-03-29 07:03:39.795915
1003,53,136,77,2026-03-29 07:03:39.795934
1003,5,129,48,2026-03-29 07:03:39.795937
1003,78,393,73,2026-03-29 07:03:39.795941
1003,91,35,41,2026-03-29 07:03:39.795944
1003,48,427,93,2026-03-29 07:03:39.795947
1004,31,478,37,2026-03-29 07:03:39.795965
1004,73,105,82,2026-03-29 07:03:39.795968
1004,65,168,81,2026-03-29 07:03:39.795972
1004,89,226,50,2026-03-29 07:03:39.795975
1004,94,301,62,2026-03-29 07:03:39.795978
1005,7,83,54,2026-03-29 07:03:39.795996
1005,4,39,34,2026-03-29 07:03:39.795999
1005,23,114,84,2026-03-29 07:03:39.796002
1005,80,313,93,2026-03-29 07:03:39.796005
1005,95,170,79,2026-03-29 07:03:39.796008
1006,3,30,59,2026-03-29 07:03:39.796026
1006,16,12,77,2026-03-29 07:03:39.796029
1006,84,22,19,2026-03-29 07:03:39.796032
1006,10,119,45,2026-03-29 07:03:39.796035
1006,92,177,34,2026-03-29 07:03:39.796038
1007,30,222,41,2026-03-29 07:03:39.796055
1007,45,473,70,2026-03-29 07:03:39.796058
1007,53,462,99,2026-03-29 07:03:39.796061
1007,54,390,77,2026-03-29 07:03:39.796064
1007,22,417,30,2026-03-29 07:03:39.796067
1008,79,272,49,2026-03-29 07:03:39.796083
1008,67,443,53,2026-03-29 07:03:39.796087
1008,93,258,43,2026-03-29 07:03:39.796090
1008,95,247,97,2026-03-29 07:03:39.796093
1008,59,54,78,2026-03-29 07:03:39.796096
1009,62,314,15,2026-03-29 07:03:39.796112
1009,63,14,66,2026-03-29 07:03:39.796116
1009,17,376,42,2026-03-29 07:03:39.796119
1009,41,12,71,2026-03-29 07:03:39.796122
1009,10,285,23,2026-03-29 07:03:39.796124
1010,54,106,88,2026-03-29 07:03:39.796141
1010,31,461,73,2026-03-29 07:03:39.796144
1010,21,328,97,2026-03-29 07:03:39.796147
1010,39,188,98,2026-03-29 07:03:39.796150
1010,7,140,38,2026-03-29 07:03:39.796153
1011,75,406,33,2026-03-29 07:03:39.796170
1011,17,123,60,2026-03-29 07:03:39.796173
1011,31,20,97,2026-03-29 07:03:39.796176
1011,14,312,93,2026-03-29 07:03:39.796179
1011,57,21,78,2026-03-29 07:03:39.796182
1012,36,22,81,2026-03-29 07:03:39.796199
1012,39,404,31,2026-03-29 07:03:39.796203
1012,89,39,50,2026-03-29 07:03:39.796206
1012,64,253,90,2026-03-29 07:03:39.796209
1012,94,89,91,2026-03-29 07:03:39.796212
1013,14,461,14,2026-03-29 07:03:39.796229
1013,56,28,33,2026-03-29 07:03:39.796232
